date,time,model,logloss,top1,top3
17707,E,freq_indep,4.975748035095815,FALSE,FALSE
17708,M,freq_indep,5.001226086650674,FALSE,FALSE
17708,E,freq_indep,4.713544014198894,FALSE,FALSE
17709,M,freq_indep,4.286716454869556,FALSE,FALSE
17709,E,freq_indep,4.738701578612614,FALSE,FALSE
17710,M,freq_indep,4.311561494866671,FALSE,FALSE
17710,E,freq_indep,4.763546618609729,FALSE,FALSE
17711,M,freq_indep,4.8061053092960355,FALSE,FALSE
17711,E,freq_indep,4.5367723755124505,FALSE,FALSE
17712,M,freq_indep,4.155549988468976,FALSE,FALSE
17712,E,freq_indep,4.443232060920757,FALSE,FALSE
17713,M,freq_indep,3.707782500670122,FALSE,TRUE
17713,E,freq_indep,4.232511029605105,FALSE,FALSE
17714,M,freq_indep,4.812329524858047,FALSE,FALSE
17714,E,freq_indep,4.242561365458606,FALSE,FALSE
17715,M,freq_indep,4.493875793739512,FALSE,FALSE
17715,E,freq_indep,4.193290316451823,FALSE,FALSE
17716,M,freq_indep,4.812329524858047,FALSE,FALSE
17716,E,freq_indep,4.001399308641718,FALSE,FALSE
17717,M,freq_indep,4.966480204685305,FALSE,FALSE
17717,E,freq_indep,5.3719453127934695,FALSE,FALSE
17718,M,freq_indep,4.252713736922624,FALSE,FALSE
17771,E,freq_indep,5.10821562243512,FALSE,FALSE
17772,M,freq_indep,5.290537179229074,FALSE,FALSE
17772,E,freq_indep,4.292414475984194,FALSE,FALSE
17773,M,freq_indep,4.511103676949024,FALSE,FALSE
17773,E,freq_indep,4.765255601335164,FALSE,FALSE
17774,M,freq_indep,3.481240089335692,FALSE,TRUE
17774,E,freq_indep,5.38357721049886,FALSE,FALSE
17775,M,freq_indep,4.690430029938915,FALSE,FALSE
17775,E,freq_indep,4.625195604863671,FALSE,FALSE
17776,M,freq_indep,4.219730496755506,FALSE,FALSE
17776,E,freq_indep,4.162349291336158,FALSE,FALSE
17777,M,freq_indep,4.0081986115089,FALSE,FALSE
17777,E,freq_indep,4.912864947705105,FALSE,FALSE
17778,M,freq_indep,4.191546890178463,FALSE,FALSE
17778,E,freq_indep,4.0661736852554045,FALSE,FALSE
17779,M,freq_indep,4.605170185988091,FALSE,FALSE
17779,E,freq_indep,4.51802656885016,FALSE,FALSE
17780,M,freq_indep,5.52962748052864,FALSE,FALSE
17780,E,freq_indep,4.969813299576001,FALSE,FALSE
17781,M,freq_indep,4.969813299576001,FALSE,FALSE
17781,E,freq_indep,4.689098584186156,FALSE,FALSE
17782,M,freq_indep,5.179721500634627,FALSE,FALSE
17782,E,freq_indep,5.563607748684917,FALSE,FALSE
17783,M,freq_indep,4.919250732294404,FALSE,FALSE
17783,E,freq_indep,4.278267400383029,FALSE,FALSE
17784,M,freq_indep,4.135166556742356,FALSE,FALSE
17784,E,freq_indep,4.27944004589878,FALSE,FALSE
17785,M,freq_indep,4.267017525900223,FALSE,FALSE
17785,E,freq_indep,4.092490993572778,FALSE,FALSE
17786,M,freq_indep,4.305584209033486,FALSE,FALSE
17786,E,freq_indep,4.0312864262549635,FALSE,FALSE
17787,M,freq_indep,4.0312864262549635,FALSE,FALSE
17787,E,freq_indep,3.7972532823247382,TRUE,TRUE
17788,M,freq_indep,4.239086034603778,FALSE,FALSE
17788,E,freq_indep,3.858778490909334,FALSE,FALSE
17789,M,freq_indep,5.585999438999818,FALSE,FALSE
17789,E,freq_indep,6.016309587105096,FALSE,FALSE
17790,M,freq_indep,4.406871674670996,FALSE,FALSE
17790,E,freq_indep,3.850593864268599,FALSE,FALSE
17791,M,freq_indep,4.8061053092960355,FALSE,FALSE
17791,E,freq_indep,5.841948942039204,FALSE,FALSE
17792,M,freq_indep,5.100011597309828,FALSE,FALSE
17792,E,freq_indep,6.352774565805196,FALSE,FALSE
17793,M,freq_indep,5.65962738524525,FALSE,FALSE
17793,E,freq_indep,4.812329524858047,FALSE,FALSE
17794,M,freq_indep,4.812329524858047,FALSE,FALSE
17794,E,freq_indep,5.031018725822876,FALSE,FALSE
17795,M,freq_indep,4.92565821016505,FALSE,FALSE
17795,E,freq_indep,4.848697169028921,FALSE,FALSE
17796,M,freq_indep,3.564681657029449,FALSE,TRUE
17796,E,freq_indep,4.137200849800779,FALSE,FALSE
17797,M,freq_indep,3.787825208343659,FALSE,FALSE
17797,E,freq_indep,4.925658210165049,FALSE,FALSE
17851,M,freq_indep,4.702750514326955,FALSE,FALSE
17851,E,freq_indep,4.702750514326955,FALSE,FALSE
17852,M,freq_indep,5.098890341851143,FALSE,FALSE
17852,E,freq_indep,5.322033893165353,FALSE,FALSE
17853,M,freq_indep,4.456954241680648,FALSE,FALSE
17853,E,freq_indep,5.576185817551493,FALSE,FALSE
17854,M,freq_indep,5.201255653704905,FALSE,FALSE
17854,E,freq_indep,4.882801922586371,FALSE,FALSE
17855,M,freq_indep,4.825866300325822,FALSE,FALSE
17855,E,freq_indep,5.190509413913731,FALSE,FALSE
17856,M,freq_indep,3.571480959896631,TRUE,TRUE
17856,E,freq_indep,4.162349291336158,FALSE,FALSE
17857,M,freq_indep,5.290159178846573,FALSE,FALSE
17857,E,freq_indep,4.7305433909111505,FALSE,FALSE
17858,M,freq_indep,5.1647859739235145,FALSE,FALSE
17858,E,freq_indep,5.031254581298992,FALSE,FALSE
17859,M,freq_indep,4.6133367486544845,FALSE,FALSE
17859,E,freq_indep,4.350972484186993,FALSE,FALSE
17860,M,freq_indep,3.852851872239694,FALSE,FALSE
17860,E,freq_indep,3.4293682586288514,TRUE,TRUE
17861,M,freq_indep,4.4865743200746815,FALSE,FALSE
17861,E,freq_indep,5.025570820807369,FALSE,FALSE
17862,M,freq_indep,4.513785624186239,FALSE,FALSE
17862,E,freq_indep,5.430076356060394,FALSE,FALSE
17863,M,freq_indep,5.926926025970411,FALSE,FALSE
17863,E,freq_indep,4.645992180508347,FALSE,FALSE
17864,M,freq_indep,5.260269298910507,FALSE,FALSE
17864,E,freq_indep,5.077947742116552,FALSE,FALSE
17865,M,freq_indep,4.698626797143094,FALSE,FALSE
17865,E,freq_indep,5.286413462045212,FALSE,FALSE
17866,M,freq_indep,4.619073091157083,FALSE,FALSE
17866,E,freq_indep,5.247681750579457,FALSE,FALSE
17867,M,freq_indep,5.050016250820106,FALSE,FALSE
17867,E,freq_indep,5.001226086650675,FALSE,FALSE
17868,M,freq_indep,5.585999438999818,FALSE,FALSE
17868,E,freq_indep,5.026383651064395,FALSE,FALSE
17869,M,freq_indep,5.100018855230942,FALSE,FALSE
17869,E,freq_indep,4.614511039449241,FALSE,FALSE
17870,M,freq_indep,4.670303768136973,FALSE,FALSE
17870,E,freq_indep,4.11295812873609,FALSE,FALSE
17871,M,freq_indep,4.326821709076346,FALSE,FALSE
17871,E,freq_indep,5.100011597309828,FALSE,FALSE
17872,M,freq_indep,3.731735741692615,FALSE,TRUE
17872,E,freq_indep,5.031018725822876,FALSE,FALSE
17873,M,freq_indep,5.031018725822876,FALSE,FALSE
17873,E,freq_indep,4.966480204685305,FALSE,FALSE
17874,M,freq_indep,4.694546489201663,FALSE,FALSE
17874,E,freq_indep,5.6188053907249955,FALSE,FALSE
17875,M,freq_indep,4.743336653371095,FALSE,FALSE
17875,E,freq_indep,4.94586091748257,FALSE,FALSE
17876,M,freq_indep,4.13720084980078,FALSE,FALSE
17876,E,freq_indep,4.56101509657714,FALSE,FALSE
17877,M,freq_indep,4.848697169028921,FALSE,FALSE
17930,E,freq_indep,4.4150684418751744,FALSE,FALSE
17931,M,freq_indep,4.597389998669129,FALSE,FALSE
17931,E,freq_indep,4.580096548435975,FALSE,FALSE
17932,M,freq_indep,4.310432981486873,FALSE,FALSE
17932,E,freq_indep,3.9667479051173924,FALSE,FALSE
17933,M,freq_indep,3.5612827970092282,FALSE,TRUE
17933,E,freq_indep,4.7957905455967405,FALSE,FALSE
17934,M,freq_indep,4.220426400693179,FALSE,FALSE
17934,E,freq_indep,4.6717156204985635,FALSE,FALSE
17935,M,freq_indep,5.008187857119776,FALSE,FALSE
17935,E,freq_indep,4.701345792068845,FALSE,FALSE
17936,M,freq_indep,4.855496471896103,FALSE,FALSE
17936,E,freq_indep,3.9908761947163125,FALSE,TRUE
17937,M,freq_indep,5.472480735640528,FALSE,FALSE
17937,E,freq_indep,3.8148592569744983,TRUE,TRUE
17938,M,freq_indep,5.164785973923514,FALSE,FALSE
17938,E,freq_indep,4.3664766707229585,FALSE,FALSE
17939,M,freq_indep,4.836480299968694,FALSE,FALSE
17939,E,freq_indep,4.378944968136474,FALSE,FALSE
17940,M,freq_indep,5.557599964478119,FALSE,FALSE
17940,E,freq_indep,3.639276459687478,TRUE,TRUE
17941,M,freq_indep,5.179721500634627,FALSE,FALSE
17941,E,freq_indep,4.331464067392284,FALSE,FALSE
17942,M,freq_indep,5.2069328047461845,FALSE,FALSE
17942,E,freq_indep,4.491841500681089,FALSE,FALSE
17943,M,freq_indep,5.339139361068291,FALSE,FALSE
17943,E,freq_indep,4.279440045898781,FALSE,FALSE
17944,M,freq_indep,5.483412850224717,FALSE,FALSE
17944,E,freq_indep,4.662259152972219,FALSE,FALSE
17945,M,freq_indep,4.662259152972219,FALSE,FALSE
17945,E,freq_indep,6.516193076042964,FALSE,FALSE
17946,M,freq_indep,4.724433606814909,FALSE,FALSE
17946,E,freq_indep,4.867694694026152,FALSE,FALSE
17947,M,freq_indep,5.560841874586097,FALSE,FALSE
17947,E,freq_indep,4.669708707125663,FALSE,FALSE
17948,M,freq_indep,4.001879334550007,FALSE,FALSE
17948,E,freq_indep,4.193778459210288,FALSE,FALSE
17949,M,freq_indep,5.387700927682722,FALSE,FALSE
17949,E,freq_indep,4.942237483620615,FALSE,FALSE
17950,M,freq_indep,3.6094318074517107,TRUE,TRUE
17950,E,freq_indep,3.9324064371547665,FALSE,FALSE
17951,M,freq_indep,4.812329524858047,FALSE,FALSE
17951,E,freq_indep,4.155549988468976,FALSE,FALSE
17952,M,freq_indep,4.13720084980078,FALSE,FALSE
17952,E,freq_indep,4.92565821016505,FALSE,FALSE
17953,M,freq_indep,4.480972388903604,FALSE,FALSE
17953,E,freq_indep,4.406864416749882,FALSE,FALSE
17954,M,freq_indep,4.743336653371095,FALSE,FALSE
17954,E,freq_indep,3.9324064371547665,FALSE,FALSE
17955,M,freq_indep,4.252713736922624,FALSE,FALSE
17955,E,freq_indep,5.841948942039205,FALSE,FALSE
17956,M,freq_indep,4.694546489201663,FALSE,FALSE
17956,E,freq_indep,5.282333154103783,FALSE,FALSE
18010,M,freq_indep,4.954064942607862,FALSE,FALSE
18010,E,freq_indep,4.191924890560965,FALSE,FALSE
18011,M,freq_indep,5.609715965617133,FALSE,FALSE
18011,E,freq_indep,6.5260066974912885,FALSE,FALSE
