date,time,logloss_freq,logloss_ewma,logloss_blend,logloss_markov,top1_freq,top3_freq,top1_ewma,top3_ewma,top1_blend,top3_blend,prev_d1,prev_d2
17547,E,3.804808921120997,3.742154260882782,3.772990970437122,3.7495040759303713,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,4
17548,M,4.842216642471293,5.6630081930317395,5.170662955192131,4.836281906951478,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,7
17548,E,4.619073091157083,5.158743597999944,4.85293620752929,5.3471075307174685,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4
17549,M,4.143775854799453,3.6114834974689964,3.842623168893021,5.541263545158426,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,8
17549,E,5.075334058804397,5.932377149190679,5.414719905604442,4.990432586778736,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0
17550,M,4.775069222783489,4.544404746374758,4.653100914120292,3.8066624897703196,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
17550,E,4.620918542956231,5.298536074451285,4.90339722299539,4.882801922586371,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1
17551,M,4.694553747122777,4.756627027892949,4.7251088282893905,4.90527477843843,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,7
17551,E,4.203930830674306,4.045273812069958,4.121459109817583,4.564348191467836,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2
17552,M,3.9459040440729236,3.650687499012726,3.787441002618329,4.553876891600541,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
17552,E,4.5367723755124505,4.389443050962156,4.460396922350817,4.809470649500821,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,6
17553,M,5.841948942039204,6.550553392817934,6.134756936200169,5.342334251964811,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5
17553,E,4.4938757937395115,4.6941748716962,4.589018728576344,4.366278277705742,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,7
17554,M,4.94586091748257,5.696811984666037,5.252442116003637,5.204006687076795,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,9
17554,E,4.075507280795439,3.9002218580121246,3.984028853719492,5.075173815233827,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5
17555,M,5.436483833931041,5.31913950477943,5.3760914445246,5.41610040220442,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,8
17555,E,4.812329524858046,4.853852133707261,4.832875328882534,4.59511985013459,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,9
17556,M,4.743336653371095,4.801315694493418,4.7719060366228225,5.272999558563747,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,9
17556,E,6.352774565805195,6.967249301303764,6.6135388937603,5.6204008657171505,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1
17557,M,5.436483833931041,6.611977300047122,5.860622238701087,5.683579767338681,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0
17557,E,4.812329524858046,5.270738694216962,5.01549355882031,4.356708826689592,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1
17558,M,4.041890669996454,3.7846156538612408,3.9050020761116557,4.04305126783455,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,6
17558,E,4.360344401114989,4.192276902098664,4.2727839638697445,4.852030263919617,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,2
17559,M,6.065092493353414,6.918730436908644,6.403462537847871,5.298317366548036,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,6
17612,E,5.5136807305432844,6.362450921217414,5.850594438680839,4.969813299576001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,5
17613,M,5.5782192516808555,5.084325080395878,5.301085695337385,4.882801922586371,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3
17613,E,4.4057431612911975,4.089014850413344,4.234891468982604,5.1298987149230735,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,8
